id,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,1950,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,audio_features,spotify:track:50RwvvEKX5Q7AZt8FTAwIF,https://api.spotify.com/v1/tracks/50RwvvEKX5Q7AZt8FTAwIF,https://api.spotify.com/v1/audio-analysis/50RwvvEKX5Q7AZt8FTAwIF,150133,4
3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,1950,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755,audio_features,spotify:track:3E5ndyOfO6vFDEIE42HA8o,https://api.spotify.com/v1/tracks/3E5ndyOfO6vFDEIE42HA8o,https://api.spotify.com/v1/audio-analysis/3E5ndyOfO6vFDEIE42HA8o,184333,4
6C7aTTCUWRK7dD379yUT3W,Roll Over Beethoven,1950,0.715,0.797,3,-10.154,1,0.193,0.837,0.0,0.209,0.841,92.739,audio_features,spotify:track:6C7aTTCUWRK7dD379yUT3W,https://api.spotify.com/v1/tracks/6C7aTTCUWRK7dD379yUT3W,https://api.spotify.com/v1/audio-analysis/6C7aTTCUWRK7dD379yUT3W,144600,4
1oDCK7PW72XEZ1pE5rh87A,Smile,1950,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07e-06,0.302,0.263,79.37,audio_features,spotify:track:1oDCK7PW72XEZ1pE5rh87A,https://api.spotify.com/v1/tracks/1oDCK7PW72XEZ1pE5rh87A,https://api.spotify.com/v1/audio-analysis/1oDCK7PW72XEZ1pE5rh87A,173267,5
0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,1950,0.555,0.377,1,-9.123,1,0.0295,0.671,0.0,0.128,0.619,78.986,audio_features,spotify:track:0QGwOFQChzflLAmPq5NwKo,https://api.spotify.com/v1/tracks/0QGwOFQChzflLAmPq5NwKo,https://api.spotify.com/v1/audio-analysis/0QGwOFQChzflLAmPq5NwKo,158253,4
5zvOXJrzzUlvXwyuwZ0toZ,Oh! Carol,1950,0.728,0.734,11,-3.234,1,0.0318,0.63,3.56e-05,0.137,0.965,135.078,audio_features,spotify:track:5zvOXJrzzUlvXwyuwZ0toZ,https://api.spotify.com/v1/tracks/5zvOXJrzzUlvXwyuwZ0toZ,https://api.spotify.com/v1/audio-analysis/5zvOXJrzzUlvXwyuwZ0toZ,135467,4
6OsefWNJtsWqO7myze1HEX,Money (That's What I Want) - Single Version / Mono,1950,0.656,0.813,5,-7.324,1,0.033,0.349,0.0,0.114,0.96,132.313,audio_features,spotify:track:6OsefWNJtsWqO7myze1HEX,https://api.spotify.com/v1/tracks/6OsefWNJtsWqO7myze1HEX,https://api.spotify.com/v1/audio-analysis/6OsefWNJtsWqO7myze1HEX,158493,4
79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,1950,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,audio_features,spotify:track:79nJj5dMyTsUzKvN5jUXsJ,https://api.spotify.com/v1/tracks/79nJj5dMyTsUzKvN5jUXsJ,https://api.spotify.com/v1/audio-analysis/79nJj5dMyTsUzKvN5jUXsJ,256120,3
7eqNATKM78MkWP6aHGXHEV,Put Your Head on My Shoulder,1950,0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,audio_features,spotify:track:7eqNATKM78MkWP6aHGXHEV,https://api.spotify.com/v1/tracks/7eqNATKM78MkWP6aHGXHEV,https://api.spotify.com/v1/audio-analysis/7eqNATKM78MkWP6aHGXHEV,155080,3
40fD7ct05FvQHLdQTgJelG,Splish Splash,1950,0.645,0.943,0,-1.526,1,0.0393,0.385,0.0,0.37,0.965,147.768,audio_features,spotify:track:40fD7ct05FvQHLdQTgJelG,https://api.spotify.com/v1/tracks/40fD7ct05FvQHLdQTgJelG,https://api.spotify.com/v1/audio-analysis/40fD7ct05FvQHLdQTgJelG,131720,4
62eAoNfrrS84177LOzJMQx,Papa Loves Mambo,1950,0.674,0.498,0,-10.07,1,0.13,0.512,2.05e-06,0.404,0.747,81.075,audio_features,spotify:track:62eAoNfrrS84177LOzJMQx,https://api.spotify.com/v1/tracks/62eAoNfrrS84177LOzJMQx,https://api.spotify.com/v1/audio-analysis/62eAoNfrrS84177LOzJMQx,162107,4
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,1950,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,audio_features,spotify:track:11fNLqDB47gMKj7BHhR2Qr,https://api.spotify.com/v1/tracks/11fNLqDB47gMKj7BHhR2Qr,https://api.spotify.com/v1/audio-analysis/11fNLqDB47gMKj7BHhR2Qr,123520,4
1ntGJDSakqsaw1KhptKrB5,My Prayer,1950,0.359,0.272,10,-8.393,1,0.0294,0.812,0.0,0.095,0.254,109.249,audio_features,spotify:track:1ntGJDSakqsaw1KhptKrB5,https://api.spotify.com/v1/tracks/1ntGJDSakqsaw1KhptKrB5,https://api.spotify.com/v1/audio-analysis/1ntGJDSakqsaw1KhptKrB5,167800,3
06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,1950,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,audio_features,spotify:track:06PdA0DLgF4BfAeUNZAbFG,https://api.spotify.com/v1/tracks/06PdA0DLgF4BfAeUNZAbFG,https://api.spotify.com/v1/audio-analysis/06PdA0DLgF4BfAeUNZAbFG,147880,3
4gFlHAye7To29Fs4UszQUH,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,1950,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34,audio_features,spotify:track:4gFlHAye7To29Fs4UszQUH,https://api.spotify.com/v1/tracks/4gFlHAye7To29Fs4UszQUH,https://api.spotify.com/v1/audio-analysis/4gFlHAye7To29Fs4UszQUH,179640,3
0ZvgXNstN4o2ZXPomtBYVp,"Good Golly, Miss Molly",1950,0.563,0.741,7,-11.947,1,0.0486,0.602,0.00251,0.325,0.967,164.15,audio_features,spotify:track:0ZvgXNstN4o2ZXPomtBYVp,https://api.spotify.com/v1/tracks/0ZvgXNstN4o2ZXPomtBYVp,https://api.spotify.com/v1/audio-analysis/0ZvgXNstN4o2ZXPomtBYVp,129133,4
0VE4ayVlGs5DBoqOdgJ0Zv,Donna - Single Version,1950,0.472,0.225,5,-12.581,1,0.0263,0.864,0.0,0.111,0.29,100.299,audio_features,spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,https://api.spotify.com/v1/tracks/0VE4ayVlGs5DBoqOdgJ0Zv,https://api.spotify.com/v1/audio-analysis/0VE4ayVlGs5DBoqOdgJ0Zv,150973,3
1KLpjQFgubHI3GkAICCNH3,Dream Lover,1950,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,audio_features,spotify:track:1KLpjQFgubHI3GkAICCNH3,https://api.spotify.com/v1/tracks/1KLpjQFgubHI3GkAICCNH3,https://api.spotify.com/v1/audio-analysis/1KLpjQFgubHI3GkAICCNH3,150706,4
4FlYcJnfkeBpowEHJ72Bmt,Rockin' Robin,1950,0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,audio_features,spotify:track:4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/tracks/4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/audio-analysis/4FlYcJnfkeBpowEHJ72Bmt,160080,4
2ZNTPtYmAhN9vCwnAgqKn1,"Shout, Pts. 1 & 2",1950,0.489,0.866,10,-7.433,1,0.0933,0.753,0.0,0.876,0.416,138.63,audio_features,spotify:track:2ZNTPtYmAhN9vCwnAgqKn1,https://api.spotify.com/v1/tracks/2ZNTPtYmAhN9vCwnAgqKn1,https://api.spotify.com/v1/audio-analysis/2ZNTPtYmAhN9vCwnAgqKn1,268560,4
3MpGQae6zAFd7Z1FdLV9fV,Twilight Time - Single Version,1950,0.455,0.361,9,-12.562,1,0.0473,0.747,0.0,0.238,0.285,115.854,audio_features,spotify:track:3MpGQae6zAFd7Z1FdLV9fV,https://api.spotify.com/v1/tracks/3MpGQae6zAFd7Z1FdLV9fV,https://api.spotify.com/v1/audio-analysis/3MpGQae6zAFd7Z1FdLV9fV,168293,3
121sjkub4p4zcFNozkKnQD,Folsom Prison Blues,1950,0.754,0.54,5,-8.326,1,0.0266,0.687,7.51e-05,0.0868,0.79,101.738,audio_features,spotify:track:121sjkub4p4zcFNozkKnQD,https://api.spotify.com/v1/tracks/121sjkub4p4zcFNozkKnQD,https://api.spotify.com/v1/audio-analysis/121sjkub4p4zcFNozkKnQD,168554,4
4cRfSR0QxDlXRHTKyEOu93,"Come On, Let's Go",1950,0.616,0.724,9,-8.101,1,0.042,0.788,3.16e-06,0.128,0.809,81.402,audio_features,spotify:track:4cRfSR0QxDlXRHTKyEOu93,https://api.spotify.com/v1/tracks/4cRfSR0QxDlXRHTKyEOu93,https://api.spotify.com/v1/audio-analysis/4cRfSR0QxDlXRHTKyEOu93,124587,3
0Rk9byjmZksAJX15onGns5,Teach Me Tonight,1950,0.558,0.231,5,-11.436,0,0.0812,0.805,0.0,0.142,0.403,73.103,audio_features,spotify:track:0Rk9byjmZksAJX15onGns5,https://api.spotify.com/v1/tracks/0Rk9byjmZksAJX15onGns5,https://api.spotify.com/v1/audio-analysis/0Rk9byjmZksAJX15onGns5,167493,4
7DJsL4jyXA39GDiHFQYQ0t,Mess Around,1950,0.565,0.962,8,-2.981,1,0.064,0.437,0.0,0.056,0.906,148.808,audio_features,spotify:track:7DJsL4jyXA39GDiHFQYQ0t,https://api.spotify.com/v1/tracks/7DJsL4jyXA39GDiHFQYQ0t,https://api.spotify.com/v1/audio-analysis/7DJsL4jyXA39GDiHFQYQ0t,160227,4
2Aq3BiLhITGHe6YSzkzOvi,True Love Ways,1950,0.278,0.138,10,-18.739,1,0.0349,0.799,0.0557,0.209,0.308,83.203,audio_features,spotify:track:2Aq3BiLhITGHe6YSzkzOvi,https://api.spotify.com/v1/tracks/2Aq3BiLhITGHe6YSzkzOvi,https://api.spotify.com/v1/audio-analysis/2Aq3BiLhITGHe6YSzkzOvi,168307,4
7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,1950,0.627,0.7,3,-9.657,1,0.0522,0.121,0.0111,0.188,0.856,175.33,audio_features,spotify:track:7ItZM6DMZE2m1X7yIaRxjq,https://api.spotify.com/v1/tracks/7ItZM6DMZE2m1X7yIaRxjq,https://api.spotify.com/v1/audio-analysis/7ItZM6DMZE2m1X7yIaRxjq,118227,4
