id,song_name,artist,pic_url,preview_url,decade,release_year
4FlYcJnfkeBpowEHJ72Bmt,Rockin' Robin,Bobby Day,https://i.scdn.co/image/ab67616d0000b273635d01ad663c01a3665d488d,https://p.scdn.co/mp3-preview/7b43783587061272d956c76316463fff29cdd08e?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1958
2ZNTPtYmAhN9vCwnAgqKn1,"Shout, Pts. 1 & 2",The Isley Brothers,https://i.scdn.co/image/ab67616d0000b273f9ddaa9b3da1cd7275626987,https://p.scdn.co/mp3-preview/daaef949078ecfea871f20f8af03e65877987e53?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
3MpGQae6zAFd7Z1FdLV9fV,Twilight Time - Single Version,The Platters,https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739,,1950,1958
121sjkub4p4zcFNozkKnQD,Folsom Prison Blues,Johnny Cash,https://i.scdn.co/image/ab67616d0000b27323cf966c060364cec9424e02,,1950,1960
4cRfSR0QxDlXRHTKyEOu93,"Come On, Let's Go",Ritchie Valens,https://i.scdn.co/image/ab67616d0000b2737723fdc89d8e25e65aa6730d,https://p.scdn.co/mp3-preview/a2163bb889eef2f3ca27f67d3dda2b75579a32fd?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1959
0Rk9byjmZksAJX15onGns5,Teach Me Tonight,Dinah Washington,https://i.scdn.co/image/ab67616d0000b2732a9bdb7fe25cb06bb3c47695,,1950,1988
7DJsL4jyXA39GDiHFQYQ0t,Mess Around,Ray Charles,https://i.scdn.co/image/ab67616d0000b273f0e951707ca49b533fdbf64e,https://p.scdn.co/mp3-preview/06b369274ecece821bb4ac82aadf484eeab83982?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1957
2Aq3BiLhITGHe6YSzkzOvi,True Love Ways,Buddy Holly,https://i.scdn.co/image/ab67616d0000b273988665e0435d5283cfd38b1d,,1950,2006
7ItZM6DMZE2m1X7yIaRxjq,C’Mon Everybody,Eddie Cochran,https://i.scdn.co/image/ab67616d0000b27324c50e31cea9cf898d05448c,,1950,1960
34zhjduFdQFhkRUJ230h9T,April In Paris,Billie Holiday,https://i.scdn.co/image/ab67616d0000b2738ce5e77f95cca9b114e4bedb,,1950,1958
4LJcNiq2pBb8OeqrGdBJQw,I'm Sorry,Brenda Lee,https://i.scdn.co/image/ab67616d0000b27394d826a48aa675028d2a94da,,1950,1960
24lvdbt9pS7DFEjhEWSl49,You Send Me,Sam Cooke,https://i.scdn.co/image/ab67616d0000b273e99527ff7b46db214c04b17c,,1950,2022
4ZfQwNx3FlCN07cnUvekh3,Ain't That A Shame,Fats Domino,https://i.scdn.co/image/ab67616d0000b27374e3823e9643fabc830851dd,,1950,1959
5ueyLj6e6oVaTY0KQ6yLaA,All Shook Up,Elvis Presley,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,https://p.scdn.co/mp3-preview/3313423ac43537ec4608c733cfb71202dfcfaa57?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1958
2OARIMw1hpehr86Iwmv04c,Peggy Sue,Buddy Holly,https://i.scdn.co/image/ab67616d0000b27358816b5b546bdc2c0e7f6416,,1950,1958
1hFB1obL3dCyIDigkojSTm,Lollipop,The Chordettes,https://i.scdn.co/image/ab67616d0000b2734dafc693fd369457726d5c4e,https://p.scdn.co/mp3-preview/cf5f92e4677c4c38fb64f076ae02ee86d0b32fed?cid=f4f54a850da14f27a6e2b44603fe8013,1950,2010
5ytPMYb6dkoli8sNSEsdmZ,Love Potion No. 9 - Remastered / Single Version,The Clovers,https://i.scdn.co/image/ab67616d0000b273ce5b8505b2fce099377d2857,,1950,1991
3h4udS0WeWbsur3yfjvnm4,Reet Petite,Jackie Wilson,https://i.scdn.co/image/ab67616d0000b2738cc2718c11345833920086b2,https://p.scdn.co/mp3-preview/c8039852c1bf3576d1955f801a100786de75b3ed?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1958
3P6OwCX7Ofiaaqtvujb6i5,Sixteen Tons,Tennessee Ernie Ford,https://i.scdn.co/image/ab67616d0000b2738bbea9fbdb68b329c1228e25,,1950,1997
3Lbxie6whOW4eMt4jtI32k,Yakety Yak - 2007 Remaster,The Coasters,https://i.scdn.co/image/ab67616d0000b273ccdfe154fe251276f5ed16d7,https://p.scdn.co/mp3-preview/e758392f2f05b6e05384c5d22f6221682d459887?cid=f4f54a850da14f27a6e2b44603fe8013,1950,2007
7bflxIMDz5mFxhQyYx1CEh,Magic Moments,Perry Como,https://i.scdn.co/image/ab67616d0000b2732027745ea676490e7d3376ed,https://p.scdn.co/mp3-preview/dac6fa2063005073f4e68c62afcdbba4f8cb424d?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1993
2HyPrPSANTIPkR6CfiytwY,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,https://i.scdn.co/image/ab67616d0000b27346819799558f553de9f1df24,https://p.scdn.co/mp3-preview/06eee022ebbb382257437126b3f5020b48ccefca?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1957
4LcrHUkRmXG3c0YD5VYutn,At The Hop,Danny & The Juniors,https://i.scdn.co/image/ab67616d0000b27362b3c3aec00c8a1d7e4663ca,,1950,1983
3mKdw0slI6wmnb1FBrvwn2,I Get A Kick Out Of You,Frank Sinatra,https://i.scdn.co/image/ab67616d0000b273503b7b4db39f931b7188188b,,1950,1962
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,Elvis Presley,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76,https://p.scdn.co/mp3-preview/873f2231a4d75b183a538d6d7d942ed6171d0afe?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1958
3NhqNUMkRhHxEHbQ3bUaCc,Only You (And You Alone),The Platters,https://i.scdn.co/image/ab67616d0000b2738b87773ace065872827f46d1,https://p.scdn.co/mp3-preview/fca9573013c2e8630f65afd3b5e41d7e8c7642a8?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1966
2xKfXRhw5xaUXfevJJspZf,Why Do Fools Fall in Love,Frankie Lymon,https://i.scdn.co/image/ab67616d0000b27316a312d3a18f48077f778a4c,https://p.scdn.co/mp3-preview/a4fb15a6fe26447af0304fd68164f965669bd460?cid=f4f54a850da14f27a6e2b44603fe8013,1950,1989
